,trip_id,uniqueid,qmodegrouping_Bike,qmodegrouping_Bus,qmodegrouping_Car,qmodegrouping_Commuter Rail,qmodegrouping_Ferry,qmodegrouping_For-Hire Vehicle,qmodegrouping_Other,qmodegrouping_Subway,qmodegrouping_Walk,qsustainablemode_No,qsustainablemode_Yes
5392,18202410,10202410,0,0,0,0,0,0,0,0,1,0,1
5393,18202666,10202666,0,0,0,0,0,0,0,1,0,0,1
5394,18202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5395,18203583,10203583,0,0,1,0,0,0,0,0,0,1,0
5396,18203722,10203722,0,1,0,0,0,0,0,0,0,0,1
5397,18204136,10204136,0,0,0,0,0,0,0,1,0,0,1
5398,19101839,101839,0,0,0,0,0,0,0,1,0,0,1
5399,19200175,10200175,0,0,0,0,0,0,0,0,1,0,1
5400,19200214,10200214,0,0,1,0,0,0,0,0,0,1,0
5401,19200603,10200603,0,0,1,0,0,0,0,0,0,1,0
5402,19200998,10200998,0,0,0,0,0,0,0,1,0,0,1
5403,19201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5404,19201178,10201178,0,0,0,0,0,0,0,0,1,0,1
5405,19201239,10201239,0,0,1,0,0,0,0,0,0,1,0
5406,19202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5407,19203722,10203722,0,1,0,0,0,0,0,0,0,0,1
5408,19204136,10204136,0,0,0,0,0,0,0,1,0,0,1
5409,20101839,101839,0,1,0,0,0,0,0,0,0,0,1
5410,20200998,10200998,0,0,0,0,0,0,0,0,1,0,1
5411,20201099,10201099,0,0,1,0,0,0,0,0,0,1,0
5412,20201178,10201178,0,0,0,0,0,0,0,0,1,0,1
5413,20201239,10201239,0,0,1,0,0,0,0,0,0,1,0
5414,20202702,10202702,0,0,1,0,0,0,0,0,0,1,0
